nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Llar d'infants L'Estel;av.  Espanya;Tremp;25620;Pallars Jussà;42.1647498683;0.8949493335;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Mossèn Jacint Verdaguer;c.  Josep Lluís de la Rosa;Calafell;43882;Baix Penedès;41.1956259814;1.5941239548;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Joan Ardèvol;c.  Joan Ardèvol;Cambrils;43850;Baix Camp;41.0757755121;1.046528478;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Institut Ramon Berenguer IV;c.  Bertran de Cambrils;Cambrils;43850;Baix Camp;41.0696985159;1.0582253536;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Escola Sant Isidre - ZER Les Vinyes;pl.  Carrasclet;Capçanes;43776;Priorat;41.1003123939;0.7808853791;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola La Gessera - ZER Ports-Algars;c. les Eres;Caseres;43787;Terra Alta;41.0393374582;0.251631834;Educació. Formació,Ensenyaments de règim general,3. Educació primària
Escola Jaume I;c.  Pompeu Fabra;Sénia, la;43560;Montsià;40.6331861101;0.2813812072;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Mossèn Ramon Bergadà;c.  Jaume I;Constantí;43120;Tarragonès;41.1520089755;1.2184690661;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Guillem de Montgrí;c. del Roser;Torroella de Montgrí;17257;Baix Empordà;42.045458752;3.123541303;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Joan Roura i Parella - ZER El Llierca;c.  Sales;Tortellà;17853;Garrotxa;42.2333801385;2.6326223832;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Ignasi Melé i Farré;av.  Puerto Rico;Tossa de Mar;17320;Selva;41.723920474;2.927671657;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Puig Rodó - ZER Montgrí;ctra.  Torroella;Ullà;17140;Baix Empordà;42.0468740099;3.1133303459;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola L'Estany - ZER Empordanet-Gavarres;c.  Tramuntana;Ullastret;17114;Baix Empordà;42.0038746183;3.0678239913;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Parvulari de Sant Esteve d'en Bas;av. de Fernando Laparte;Vall d'en Bas, la;17176;Garrotxa;42.1191532169;2.4571020005;Educació. Formació,Ensenyaments de règim general,2. Parvulari
